"","Fecha","Casos.totales"
"1",2020-03-02,1
"2",2020-03-03,1
"3",2020-03-04,3
"4",2020-03-05,4
"5",2020-03-06,5
"6",2020-03-07,7
"7",2020-03-08,10
"8",2020-03-09,15
"9",2020-03-10,17
"10",2020-03-11,23
"11",2020-03-12,33
"12",2020-03-13,43
"13",2020-03-14,61
"14",2020-03-15,75
"15",2020-03-16,156
"16",2020-03-17,201
"17",2020-03-18,238
"18",2020-03-19,342
"19",2020-03-20,434
"20",2020-03-21,537
"21",2020-03-22,632
"22",2020-03-23,746
"23",2020-03-24,922
"24",2020-03-25,1142
"25",2020-03-26,1306
"26",2020-03-27,1610
"27",2020-03-28,1909
"28",2020-03-29,2139
"29",2020-03-30,2449
"30",2020-03-31,2738
"31",2020-04-01,3031
"32",2020-04-02,3404
"33",2020-04-03,3737
"34",2020-04-04,4161
"35",2020-04-05,4471
"36",2020-04-06,4815
"37",2020-04-07,5116
"38",2020-04-08,5546
"39",2020-04-09,5972
"40",2020-04-10,6501
"41",2020-04-11,6927
"42",2020-04-12,7213
"43",2020-04-13,7525
"44",2020-04-14,7917
"45",2020-04-15,8273
"46",2020-04-16,8807
"47",2020-04-17,9252
"48",2020-04-18,9730
"49",2020-04-19,10088
"50",2020-04-20,10507
"51",2020-04-21,10832
"52",2020-04-22,11296
"53",2020-04-23,11812
"54",2020-04-24,12306
"55",2020-04-25,12858
"56",2020-04-26,13331
"57",2020-04-27,13813
"58",2020-04-28,14365
"59",2020-04-29,15135
"60",2020-04-30,16023
"61",2020-05-01,17008
"62",2020-05-02,18435
"63",2020-05-03,19663
"64",2020-05-04,20643
"65",2020-05-05,22016
"66",2020-05-06,23048
"67",2020-05-07,24581
"68",2020-05-08,25972
"69",2020-05-09,27219
"70",2020-05-10,28866
"71",2020-05-11,30063
"72",2020-05-12,31721
"73",2020-05-13,34381
"74",2020-05-14,37040
"75",2020-05-15,39542
"76",2020-05-16,41428
"77",2020-05-17,43781
"78",2020-05-18,46059
"79",2020-05-19,49579
"80",2020-05-20,53617
"81",2020-05-21,57581
"82",2020-05-22,61857
"83",2020-05-23,65393
"84",2020-05-24,69102
"85",2020-05-25,73997
"86",2020-05-26,77961
"87",2020-05-27,82289
"88",2020-05-28,86943
"89",2020-05-29,90638
"90",2020-05-30,94858
"91",2020-05-31,99688
"92",2020-06-01,105159
"93",2020-06-02,108686
"94",2020-06-03,113628
"95",2020-06-04,118292
"96",2020-06-05,122499
"97",2020-06-06,127745
"98",2020-06-07,134150
"99",2020-06-08,138846
"100",2020-06-09,142759
"101",2020-06-10,148496
"102",2020-06-11,154092
"103",2020-06-12,160846
"104",2020-06-13,167355
"105",2020-06-14,174293
"106",2020-06-15,179436
"107",2020-06-16,184449
"108",2020-06-17,220628
"109",2020-06-18,225103
"110",2020-06-19,231393
"111",2020-06-20,236748
"112",2020-06-21,242355
"113",2020-06-22,246963
"114",2020-06-23,250767
"115",2020-06-24,254416
"116",2020-06-25,259064
"117",2020-06-26,263360
"118",2020-06-27,267766
"119",2020-06-28,271982
"120",2020-06-29,275999
"121",2020-06-30,279393
"122",2020-07-01,282043
"123",2020-07-02,284541
"124",2020-07-03,288089
"125",2020-07-04,291847
"126",2020-07-05,295532
"127",2020-07-06,298557
"128",2020-07-07,301019
"129",2020-07-08,303083
"130",2020-07-09,306216
"131",2020-07-10,309274
"132",2020-07-11,312029
"133",2020-07-12,315041
"134",2020-07-13,317657
"135",2020-07-14,319493
"136",2020-07-15,321205
